Title,genre,language,mood,poster_url
RDX,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BNmU2N2EyOWItYmQzNy00MGNiLWE0NmItN2YyNDgyOWYzYzE0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Kannur Squad,Thriller,Malayalam,Suspense,https://m.media-amazon.com/images/M/MV5BMjc5YmU3YzktY2QxNi00ZDVlLTkzY2EtYTIzNWZiMTMyOTljXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
2018,Drama,Malayalam,Inspirational,https://m.media-amazon.com/images/M/MV5BNTBmOGQ2NWYtYWI5Yy00ZjVkLWFkNTktN2EzYzBhMDQ3MTAxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Romancham,Horror,Malayalam,Comedy,https://m.media-amazon.com/images/M/MV5BYTJlNzI5ZTEtN2IxOS00NDFlLWJhZDItYjFlZjY1ZDdhYWE2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Jaya Jaya Jaya Jaya Hey,Comedy,Malayalam,Inspirational,https://m.media-amazon.com/images/M/MV5BYjcyYTBhNDAtNTkyMi00Mjc0LTg3OWItZjQzMWQwZGVjOWU5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Home,Drama,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BNTFiMDRlNjYtMDM5MS00NTM4LTk1Y2YtNmRjNTk5ZmJkNzFhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Jan.E.Man,Comedy,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BYTFjZmVkNzItZTA1Yi00YTc1LWFjMTctOTBiN2VhMGU5NzNhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Minnal Murali,Fantasy,Malayalam,Adventure,https://m.media-amazon.com/images/M/MV5BMjA4ODU0YjgtOWZhOS00NzdlLThlNDUtNTI0NTlhNGQ4MDJiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Hridayam,Romance,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BNGY4MDhkODItYjFhZi00YmU3LWFiZDUtM2U3OWM0N2VhYzA4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Kurup,Thriller,Malayalam,Suspense,https://m.media-amazon.com/images/M/MV5BMDFkODU0NjMtZTJlNy00YTdiLTgzNzItMGE3ZTFlMmI3ZjRhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Nayattu,Thriller,Malayalam,Suspense,https://m.media-amazon.com/images/M/MV5BZmM4YTFhMjgtMWVlOC00M2VhLTk1ZjEtMmEyNWQyZTYzMDRmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Forensic,Thriller,Malayalam,Suspense,https://m.media-amazon.com/images/M/MV5BYjU0N2Q3YjItM2IyMS00ZGE2LTk5NDQtYzAyNmE1ZjNkNTA5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Trance,Drama,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BNGEyMmM5YmItYmNkOC00ZGNhLWE1YjQtNzA5N2IyZDEwNzg1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Uyare,Drama,Malayalam,Inspirational,https://m.media-amazon.com/images/M/MV5BOTU5NmM2ZjMtNWFhNS00OGYwLTkyOTAtZDJkMjhhZDcyMmZiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Kappela,Romance,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BZmEyYTllMTgtN2E3My00YjVjLThhYjItZDhhOGI1NDQ4MGY0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Android Kunjappan Version 5.25,Sci-Fi,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BYjJjNmRkYTktM2YyMC00MDk0LWI4YzEtMGU3MDdiMmRiYzAyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Helen,Thriller,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BNWRjOTY4NjMtMGEwNy00MzEwLWFkNzgtNzYyMTU0MGM2Y2M3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Virus,Drama,Malayalam,Inspirational,https://m.media-amazon.com/images/M/MV5BNTQyYjZkMjYtM2IyZC00NGUzLTk3ODQtMzU5OTkyNmViZDU1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Take Off,Drama,Malayalam,Inspirational,https://m.media-amazon.com/images/M/MV5BNTYxODhkNDItZWMxMS00OTY3LWFhZTctMDZkYmYzMDk5NjYwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Sudani from Nigeria,Comedy,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BNDJkMTFmZDAtMmRlNC00ZGE4LTkwODQtNzAzMGFlNzkwZWM1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Thondimuthalum Driksakshiyum,Drama,Malayalam,Comedy,https://m.media-amazon.com/images/M/MV5BZGIwMWQwOGQtNjUzMy00YTgwLWI3MjItZjU3YzVlYWQyMWYyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Maheshinte Prathikaaram,Comedy,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BMjA1OTU5ODY3NF5BMl5BanBnXkFtZTgwNzYwMzU5NzE@._V1_FMjpg_UX1000_.jpg
Angamaly Diaries,Drama,Malayalam,Action,https://m.media-amazon.com/images/M/MV5BMzdmMTNiMTAtY2E4MC00MmI3LWI4NTMtZDRkMTU0ZTQ1ODAxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Ee.Ma.Yau,Drama,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BZWZlMzcyOTYtZjg4Yi00ZjM0LWJjNWUtOWY4OWZiOGEwNDMwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Kumbalangi Nights,Drama,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BNTIwM2FlY2MtNzg2Yy00ZjZhLTkwNzUtY2FjYTUyODg3ZjAwXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Joji,Drama,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BODdiYjU0NTAtNzFhYi00M2YzLTkzNGEtM2VmNDdhMDU4NzM5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Malik,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BMTFjNmNhOTQtMGE5OS00ODdmLTlmMmEtZDgyNjg3ODIyMGI0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Bheeshma Parvam,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BOGQ1M2Y5ZTItNjVkMy00OWE1LTk3MjItNDljMWFmYTQ4N2FmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Lucifer,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BYzA2YzI1ODktNGMzZC00MWQ2LTgwNzAtZjhlNGI3NDliM2U0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Empuraan,Action,Malayalam,Thriller,https://m.media-amazon.com/images/M/MV5BNWY1OTNhNDgtNTViNS00NGE2LTk5ZTEtN2QxYjc1YzQyYzE1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Manjummel Boys,Adventure,Malayalam,Emotional,https://m.media-amazon.com/images/M/MV5BNmU4MzA2NTQtNGM4Yi00ZTQzLTk0NDAtYTFkMDYwMmU0YTZiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Premam,Romance,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BNzBhZmVjY2YtNmY3Yy00OWVkLTgzODAtNmY4ZTgxMTRjYTNiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Bangalore Days,Drama,Malayalam,Feel Good,https://m.media-amazon.com/images/M/MV5BMTEyNDM5NzkxOTZeQTJeQWpwZ15BbWU4MDczNTM2Mzgx._V1_FMjpg_UX1000_.jpg
Drishyam,Thriller,Malayalam,Suspense,https://m.media-amazon.com/images/M/MV5BOGJhNjY4MmUtNDliZS00ZTY0LTk2YjMtODQ0MGE3Y2Q4YzNkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Jawan,Action,Hindi,Thriller,https://m.media-amazon.com/images/M/MV5BNThmODk5ZjktMTRkZC00MTY2LWI1MDctN2FhNWU1MWU4NzA4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
12th Fail,Drama,Hindi,Inspirational,https://m.media-amazon.com/images/M/MV5BOTJlMmZhOGEtNmNmMi00ZTFlLTg0ODctNzA2ZTAyMDFmMDhmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Laapataa Ladies,Comedy,Hindi,Feel Good,https://m.media-amazon.com/images/M/MV5BNzFkODkzNDctMmQ1ZC00NmJkLTlmM2YtMDRiZTU2ZTlmOTcyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Zindagi Na Milegi Dobara,Drama,Hindi,Feel Good,https://m.media-amazon.com/images/M/MV5BZGFmMjM5OWMtZTRiNC00ODhlLThlYTItNmEzZDFjYWQ4YjRlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Taare Zameen Par,Drama,Hindi,Emotional,https://m.media-amazon.com/images/M/MV5BNDY4MTM5MDIyOF5BMl5BanBnXkFtZTcwODQ0MTIzMQ@@._V1_FMjpg_UX1000_.jpg
Chhichhore,Comedy,Hindi,Inspirational,https://m.media-amazon.com/images/M/MV5BMjY5MjAwZjEtMzc0Mi00NWU5LTg0NmYtYzA0YzI2ZjE4NGFmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Andhadhun,Thriller,Hindi,Suspense,https://m.media-amazon.com/images/M/MV5BZjgwZDIwY2MtNGZlNy00NGRlLWFmNTgtOTBkZThjMDUwMGJhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Article 370,Thriller,Hindi,Action,https://m.media-amazon.com/images/M/MV5BYzA2NTlkMzYtYTdhZi00Zjc1LTk1ZjYtNTk0NDdlODgwNzk3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Kalki 2898 AD,Sci-Fi,Telugu,Action,https://m.media-amazon.com/images/M/MV5BN2ZlMDkzYzItNzYwYS00ZTk1LTk3MjMtYTUwYmI3MjE0NDI4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Pushpa,Action,Telugu,Thriller,https://m.media-amazon.com/images/M/MV5BMmQ4YmM3NjgtNTExNC00ZTZhLWEwZTctYjdhOWI4ZWFlMDk2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Hi Nanna,Romance,Telugu,Emotional,https://m.media-amazon.com/images/M/MV5BYjFlYWRlYWEtZDNjMi00Mjc2LTk1NjAtMzhmYWIwMmE3YmZkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Sita Ramam,Romance,Telugu,Emotional,https://m.media-amazon.com/images/M/MV5BYzJkYzg3YjAtNmFlNS00OWRkLWE5YjctNjJlM2ZlMTY3OTVjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Eega,Fantasy,Telugu,Adventure,https://m.media-amazon.com/images/M/MV5BN2U5MjQzOWEtNWZkYS00YWI3LTlmNTItOGZjZWYzOGMwYmVjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Major,Drama,Telugu,Inspirational,https://m.media-amazon.com/images/M/MV5BYWE2YzU2OGMtNWU1OC00NzZkLTkzM2EtMTE4ZGM0NzlmYjQ4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
RRR,Action,Telugu,Inspirational,https://m.media-amazon.com/images/M/MV5BODUwNDNjMTctODUxNy00ZTA2LWIyYTEtMDc5Y2VlZGJjNTMzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Jersey,Sports,Telugu,Emotional,https://m.media-amazon.com/images/M/MV5BZmNiZTkyY2EtMzVlMy00NTVhLTkwOWMtMjU5NjE3ZjVkYjVlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Baahubali,Adventure,Telugu,Action,https://m.media-amazon.com/images/M/MV5BYWVlMjVhZWYtNWViNC00ODFkLTk1MmItYjU1MDY5ZDdhMTU3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
KGF,Action,Kannada,Thriller,https://m.media-amazon.com/images/M/MV5BZDNlNzBjMGUtYTA0Yy00OTI2LWJmZjMtZDYzY2VhYjMyYTY2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Kantara,Action,Kannada,Spiritual,https://m.media-amazon.com/images/M/MV5BNjQyMmI4NzUtZTRiYi00NjU2LWE4NWYtOGM2ODk0ZjQ2OWE4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
777 Charlie,Adventure,Kannada,Emotional,https://m.media-amazon.com/images/M/MV5BNTRjODFmYzUtMDlkNS00MmNmLWFjNjctNjU3MGE1NTYyZmVhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Sapta Sagaradaache Ello,Romance,Kannada,Emotional,https://m.media-amazon.com/images/M/MV5BNTBmZjhlMmQtMDZhNS00NWVjLTg2YzktMTI3MWRlZTU5ZmQyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Charlie 777,Adventure,Kannada,Feel Good,https://m.media-amazon.com/images/M/MV5BNTRjODFmYzUtMDlkNS00MmNmLWFjNjctNjU3MGE1NTYyZmVhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Kirik Party,Comedy,Kannada,Feel Good,https://m.media-amazon.com/images/M/MV5BODg1OTUzZjUtNzA5OC00NWFjLTlmNWEtYzU1Nzk3ODU5ZWI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
K.G.F Chapter 2,Action,Kannada,Thriller,https://m.media-amazon.com/images/M/MV5BMjA4ZjljODctZTU1Yi00YTcwLTg5OTQtMGFjMmU4MzYyOWVjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Dangal,Sports,Hindi,Inspirational,https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_FMjpg_UX1000_.jpg
3 Idiots,Comedy,Hindi,Inspirational,https://m.media-amazon.com/images/M/MV5BNzc4ZWQ3NmYtODE0Ny00YTQ4LTlkZWItNTBkMGQ0MmUwMmJlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Parasite,Thriller,Korean,Suspense,https://m.media-amazon.com/images/M/MV5BYjk1N2VjZWEtNmUxMy00ODVlLTg4MTItODk2NjVlNWExMDczXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Train to Busan,Horror,Korean,Emotional,https://m.media-amazon.com/images/M/MV5BNGI5YmRiYTgtMjc4MS00MmJlLTg5M2EtZGQyMWFkZTAzNzk5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Oldboy,Thriller,Korean,Dark,https://m.media-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_FMjpg_UX1000_.jpg
The Handmaiden,Romance,Korean,Thriller,https://m.media-amazon.com/images/M/MV5BNmFhMmY5YzItZTA3Yi00NWQ4LThjODctNDE4Y2U5MWM5ODlhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Memories of Murder,Crime,Korean,Suspense,https://m.media-amazon.com/images/M/MV5BOGVi3YWJkMTYtNDQ1NS00ZTIyLTg3NmYtZGVmNjRjMWYwN2RmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
My Neighbor Totoro,Fantasy,Japanese,Feel Good,https://m.media-amazon.com/images/M/MV5BYzJjMTYyMjQtZDI0My00ZjE2LTkyNGYtOTllNGQxNDgwZjhkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Weathering with You,Romance,Japanese,Emotional,https://m.media-amazon.com/images/M/MV5BNzE4ZDEzOGUtYWFjNC00ODczLTljOGQtZGNjNzhjNjdjNjgzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Howl's Moving Castle,Fantasy,Japanese,Adventure,https://m.media-amazon.com/images/M/MV5BNmM4YTFmMmItMGE3Yy00MmRkLTlmZGEtMzZlOTQzYjk3MzA2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Princess Mononoke,Fantasy,Japanese,Adventure,https://m.media-amazon.com/images/M/MV5BNGIzY2IzODQtNThmMi00ZDE4LWI5YzAtNzNlZTM1ZTZjYmM2XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
A Silent Voice,Drama,Japanese,Emotional,https://m.media-amazon.com/images/M/MV5BMjA1OTY1ZTMtYzk4Zi00NmI4LWEzZGQtYjExMmQ5ZDkxY2FlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Intouchables,Drama,French,Inspirational,https://m.media-amazon.com/images/M/MV5BMTYxNDA3MDQwNl5BMl5BanBnXkFtZTcwNTU4Mzk1Nw@@._V1_FMjpg_UX1000_.jpg
Amélie,Romance,French,Feel Good,https://m.media-amazon.com/images/M/MV5BN2E0YTUzNzgtYjRkYy00MTZlLWIyN2MtMGVkYmNhMzkwMzg0XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Lives of Others,Thriller,German,Suspense,https://m.media-amazon.com/images/M/MV5BNmFlM2Y5YTktNWQ5Ni00MDliLThjY2MtNDU1NmFhODZlOGU3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Run Lola Run,Thriller,German,Action,https://m.media-amazon.com/images/M/MV5BMzYyZmM2NmQtMzM2ZC00NmQ4LThjZjctNjI1YjA5MjljN2VlXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Another Round,Drama,Danish,Emotional,https://m.media-amazon.com/images/M/MV5BOTdlNWNmOWMtYTQ0Mi00OGM1LWEyYTAtNWQzNGI2N2RjODQ1XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Hunt,Drama,Danish,Thriller,https://m.media-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_FMjpg_UX1000_.jpg
Life Is Beautiful,Drama,Italian,Emotional,https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmmEtYmMzIt00ZTE0LWE4YjAtMDA5MmNhOWE2NmIzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Cinema Paradiso,Drama,Italian,Emotional,https://m.media-amazon.com/images/M/MV5BM2FhYjEyYmYtMzA1Yy00YTc5LTg2NWQtM2YzNDQ5YzYzMzNkXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Platform,Thriller,Spanish,Dark,https://m.media-amazon.com/images/M/MV5BMmNmZTQxNjUtNGVhYy00MmFjLTkyMmItODQ2NDVlYjEyNzQzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Pan's Labyrinth,Fantasy,Spanish,Dark,https://m.media-amazon.com/images/M/MV5BYzFjMThiMGItOWRlMC00MDI4LThmOGUtYWFjMmZjMjExYWI4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Invisible Guest,Thriller,Spanish,Suspense,https://m.media-amazon.com/images/M/MV5BMDk0MmIxNTQtMDc5OC00Nzg2LTg4ZjItOWMzNmVjNGM5YjdhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Secret in Their Eyes,Thriller,Spanish,Emotional,https://m.media-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_FMjpg_UX1000_.jpg
City of God,Crime,Portuguese,Thriller,https://m.media-amazon.com/images/M/MV5BMGU5OWGjM2UtMmYwZC00MmNkLTlkODctNDxsNzU2MTY1ZTVmXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Elite Squad,Action,Portuguese,Thriller,https://m.media-amazon.com/images/M/MV5BMTY5NzgxMTUyNV5BMl5BanBnXkFtZTcwNTE1OTg1MQ@@._V1_FMjpg_UX1000_.jpg
Crouching Tiger Hidden Dragon,Action,Chinese,Adventure,https://m.media-amazon.com/images/M/MV5BNDVhZmJiYmUtOTQ4Ni00MGQ2LTk5NDQtZTFjMmJkMjFhYTUyXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
In the Mood for Love,Romance,Chinese,Emotional,https://m.media-amazon.com/images/M/MV5BNmU4Mjc0N2MtNTM3Ni00MDcwLTg4YzItOTNlYTQ1MzkzODkxXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Ip Man,Action,Chinese,Inspirational,https://m.media-amazon.com/images/M/MV5BMjA4MDkwZDMtNmNkOC00ODU2LWI1NDMtNTZhNzg1MWY0Mzg4XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Infernal Affairs,Thriller,Chinese,Suspense,https://m.media-amazon.com/images/M/MV5BMTM2NDk0ODgyNF5BMl5BanBnXkFtZTcwNDAyOTY4MQ@@._V1_FMjpg_UX1000_.jpg
Your Name,Romance,Japanese,Emotional,https://m.media-amazon.com/images/M/MV5BNGYyNmI3M2YtNzYzZS00OTViLTkzMmYtM2FlMDMzMmQ3YmI5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Spirited Away,Fantasy,Japanese,Adventure,https://m.media-amazon.com/images/M/MV5BNTEyNmEwOWUtYzkyOC00ZTQ4LTllZmUtMjk0Y2Y5ZWZmYzgzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Dark Knight,Action,English,Thriller,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_FMjpg_UX1000_.jpg
Interstellar,Sci-Fi,English,Emotional,https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Inception,Sci-Fi,English,Thriller,https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg
The Martian,Sci-Fi,English,Inspirational,https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_FMjpg_UX1000_.jpg
Avatar,Sci-Fi,English,Adventure,https://m.media-amazon.com/images/M/MV5BMDEzMmQwZjctZWU2My00MWNlLWE0NGItMDBlNmI3NDAyOTgzXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Shawshank Redemption,Drama,English,Inspirational,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
Forrest Gump,Drama,English,Emotional,https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjYyOTA5NThiYTBhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Green Mile,Drama,English,Emotional,https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_FMjpg_UX1000_.jpg
Gladiator,Action,English,Inspirational,https://m.media-amazon.com/images/M/MV5BYWQ4YmNjYjEtOWE1Zi00Y2U4LWI4NTAtMTU0MjkxNWQ1ZmJiXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg
The Prestige,Mystery,English,Thriller,https://m.media-amazon.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_FMjpg_UX1000_.jpg
